"Object","Close-Approach (CA) Date","CA DistanceNominal (km)","CA DistanceMinimum (km)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2020 FC4)","2022-Nov-12 09:54 ± < 00:01","7400819","7400370","13.33","13.33","23.3","58 m -  130 m","0"
"(2017 XQ60)","2022-Dec-21 06:26 ± < 00:01","7200303","7200256","15.96","15.96","24.5","34 m -   75 m","0"
"(2019 OR1)","2022-Nov-21 02:28 ± < 00:01","6918836","6918746","13.38","13.38","20.8","180 m -  410 m","1"
"(2019 XS)","2022-Nov-10 18:24 ± < 00:01","6406260","6406239","11.87","11.86","23.9","45 m -  100 m","0"
"(2017 QL33)","2022-Dec-03 12:33 ± < 00:01","6136226","6136219","6.90","6.89","21.3","150 m -  330 m","1"
"(2011 WR41)","2023-Jan-03 17:20 ± 6_22:43","6064355","6063235","8.95","8.94","25.1","25 m -   56 m","0"
"(2021 NF)","2023-Jan-02 21:51 ±    03:09","6873553","5917350","11.33","11.32","24.7","30 m -   67 m","0"
"(2018 XU3)","2022-Dec-13 20:29 ± < 00:01","5679414","5679336","10.32","10.31","25.4","22 m -   49 m","0"
"(2022 UH16)","2022-Nov-14 01:55 ± < 00:01","5681929","5663263","9.77","9.77","26.0","17 m -   38 m","0"
"(2022 UK5)","2022-Nov-08 10:16 ± < 00:01","5478160","5476042","5.19","5.18","24.6","32 m -   71 m","0"
"(2022 RD2)","2022-Dec-22 20:22 ±    00:04","5320655","5319048","1.13","1.06","28.6","5.1 m -   11 m","0"
"(2019 XQ1)","2022-Dec-13 10:57 ±    08:47","5564600","5206235","9.79","9.78","25.4","22 m -   49 m","0"
"(2021 XS4)","2022-Dec-14 09:09 ±    00:44","5554486","5088381","9.70","9.70","26.0","17 m -   38 m","0"
"(2009 HV58)","2022-Dec-02 10:07 ± < 00:01","4719446","4719366","28.84","28.84","19.6","320 m -  710 m","2"
"(2016 YE)","2022-Dec-18 07:52 ± 1_00:22","7130818","4359304","4.76","4.75","25.9","18 m -   39 m","0"
"(2022 VE)","2022-Nov-13 16:19 ±    00:03","4322530","4304509","9.61","9.60","25.3","23 m -   52 m","0"
"(2022 TE14)","2022-Dec-25 23:43 ±    00:23","4295499","4293176","6.95","6.94","22.2","96 m -  210 m","1"
"(2022 VX)","2022-Nov-20 22:15 ±    00:42","4300147","4284252","5.89","5.87","27.2","9.6 m -   21 m","0"
"(2022 UT8)","2022-Dec-02 22:19 ±    00:06","4263037","4244284","4.17","4.14","23.7","48 m -  110 m","0"
"(2022 UD28)","2022-Nov-16 12:44 ±    00:12","4189540","4159242","11.50","11.50","25.2","24 m -   54 m","0"
"(2022 UP2)","2022-Nov-14 06:26 ± < 00:01","4073606","4072438","5.99","5.97","25.1","25 m -   56 m","0"
"(2022 UV14)","2022-Nov-11 22:46 ± < 00:01","4133424","4067518","7.63","7.62","26.4","14 m -   32 m","0"
"(2010 VQ)","2022-Dec-02 01:58 ± 6_04:52","4558840","3358005","3.88","3.86","27.7","7.7 m -   17 m","0"
"(2019 VL5)","2022-Nov-15 22:22 ± < 00:01","3247136","3247055","8.14","8.12","25.8","18 m -   41 m","0"
"(2022 US14)","2022-Nov-18 04:23 ±    00:10","3240200","3197072","8.25","8.23","24.8","29 m -   65 m","0"
"(2022 VP)","2022-Nov-11 11:05 ±    00:02","3092991","3078420","5.05","5.02","26.4","14 m -   31 m","0"
"(2022 UV20)","2022-Nov-09 19:23 ± < 00:01","2960530","2937274","8.42","8.40","26.2","15 m -   34 m","0"
"(2022 VQ)","2022-Nov-27 20:06 ±    23:18","2934613","2839238","8.17","8.15","25.9","18 m -   40 m","0"
"(2019 AY3)","2023-Jan-04 12:43 ± 1_14:23","6430746","2799577","19.74","19.74","23.8","46 m -  100 m","0"
"(2014 HK129)","2022-Dec-20 12:35 ± < 00:01","2569160","2569047","11.58","11.56","21.1","160 m -  360 m","2"
"(2022 UC5)","2022-Nov-08 19:17 ± < 00:01","2327476","2323856","12.94","12.93","24.9","28 m -   62 m","0"
"(2003 YS70)","2022-Dec-13 04:00 ± 4_11:49","4001845","1979733","4.12","4.09","29.1","4.0 m -  9.0 m","0"
"(2022 UD9)","2022-Dec-22 11:43 ±    01:25","1777828","1772570","10.27","10.25","21.8","110 m -  260 m","2"
"(2022 VY)","2022-Nov-08 01:29 ±    00:01","1180010","1176358","9.96","9.92","27.8","7.4 m -   16 m","0"
"(2005 LW3)","2022-Nov-23 10:06 ± < 00:01","1140089","1139332","13.49","13.47","21.6","130 m -  280 m","2"
"(2013 YA14)","2022-Dec-25 12:52 ± < 00:01","1033851","1033372","10.47","10.43","23.6","51 m -  110 m","2"
"(2019 XY)","2022-Dec-10 06:00 ± 8_08:15","1359702","804170","12.89","12.86","27.9","7.0 m -   16 m","0"
"(2018 YK2)","2022-Dec-26 01:21 ± 4_13:23","6040180","777008","15.12","15.12","22.8","73 m -  160 m","0"
"(2010 XC15)","2022-Dec-27 18:15 ± < 00:01","771994","771672","10.10","10.05","21.4","140 m -  310 m","3"
"(2015 RN35)","2022-Dec-15 08:12 ± < 00:01","686196","686101","5.91","5.81","23.1","63 m -  140 m","2"
"(2020 WD)","2022-Nov-08 13:04 ± 8_13:41","1151973","538125","5.95","5.89","28.2","6.1 m -   14 m","0"
"(2018 WH)","2022-Nov-16 19:27 ± 1_19:35","959055","144197","7.73","7.68","29.8","2.9 m -  6.5 m","0"
"(2021 AE)","2022-Dec-28 23:40 ± 5_23:24","6332124","5193","14.95","14.95","25.9","17 m -   39 m","0"